Subject,pc,sigma,lambda,theta,nLogLik,n_parameters,aic,optimizer,Timepoint,Treatment,x
control_0,pc1,0.23814860258939305,0.18659193019461418,-0.03510123893478141,-69.63718691116122,50,91.51340256128725,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[-0.007073511496132068, -0.014531159226154066, -0.16499582605749258, -0.1006228392076539, -0.08726495424763198, -0.10510534191409616, -0.1459715889622229, -0.10577172937225437, -0.14934055885638153, -0.2533107482442796, -0.17804736673024923, -0.1820179225196037, -0.14857583119676768, -0.15372209730917724, -0.15159210582447785, -0.14453598963487063, -0.26921219250708806, -0.11239766139434862, -0.03949941595483007, 0.003247485385069894, 0.03728207529394776, 0.043565707468412665, 0.06859932802347025, 0.05379436083146849, -0.03846760378434905, -0.06394158209787953, -0.09717604650040171, -0.023627982308439724, -0.052615694395084796, -0.041050001194805605, -0.1361488908251304, -0.02899372411407891, -0.11388269128032416, -0.20877576734573658, -0.13665143770394356, -0.1461376217076762, -0.0665585715308228, 0.023834190512797435, -0.012800756686157246, 0.01544550938474316, 0.010274035640629085, 0.11795081054511819, 0.12017614919507952, 0.09350089704335575, 0.024521453322690456, 0.06519691017629978, 0.07138527007388903, 0.06006767942161008, 0.06305969296935234, 0.04940025926939731]"
control_0,pc2,0.2614697067802524,0.2949551122563092,0.01229821603660757,-60.669550098876904,50,91.78911614723684,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[-0.005061994154934881, 0.02615550248454112, -0.029680041958689736, -0.010578195579503898, -0.002549755831297802, 0.029666329355390667, 0.034141639147685886, 0.10568918662299265, 0.008778861804213833, 0.026573198830886113, -0.17224845278775086, -0.039079595563645514, 0.007959109242144435, -0.1093965878652682, -0.1697880856341881, -0.16132017127116824, -0.07136635542473971, -0.02534127805235912, -0.14230496820301802, 0.027432710936329152, -0.016012705283421212, -0.017880251870758694, -0.027025963724628323, -0.07232234133553153, 0.011851739507980241, -0.06120800816950231, -0.099696139731038, -0.07714357674359582, 0.0006801514672965109, 0.11156973065277001, 0.009984905120940968, 0.053121294450747286, 0.0612706012738697, -0.01924010942883192, 0.005761458419218969, -0.012170437558005127, -0.013142492210162742, -0.0693397273014375, -0.006008823830924881, 0.04900371413161912, 0.059160566854647115, 0.18634951192702992, 0.2825956397630159, 0.21878422451841106, 0.19075947221208017, 0.18595239915228237, 0.13724458612051219, 0.025268369325347123, 0.04504331049657214, -0.01796402448140006]"
control_0,pc3,0.2504548575458365,0.28244672610077504,-0.06917233482387809,-64.8002669314995,50,91.65738055467398,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[0.0021352214105573907, -0.038505504310941054, -0.036460284181751484, -0.09785872576886256, -0.08985177156461237, 0.006812551468210082, -0.09569540334042452, -0.044622336448472466, 0.044228018893231455, -0.0033939012768513105, 0.03282797305043834, 0.04834964870379373, 0.03892396782751445, -0.10242449669145273, -0.15272286603702007, -0.18395454395814378, -0.029837532799138727, -0.04220028703182083, -0.09077739266141621, -0.13260537375210119, -0.21272916935749975, -0.279340808433828, -0.24992436516723693, -0.3110053677567704, -0.13730689132609558, -0.12351951289067506, -0.10776138393994919, -0.07997258970120245, 0.011749980947103486, 0.06632103876412442, 0.03889152616575525, -0.03280404098581627, -0.06710159774991027, -0.05932340511272651, -0.06357359996418259, -0.12660637914160666, -0.08723121735582051, -0.0452239692530211, -0.008002294167565989, 0.0030259725506918134, -0.057049194263749756, -0.14428338270388086, -0.07090422280222348, -0.1982553262635055, -0.1290062817405394, -0.11086744608453986, -0.10155685934166037, 0.001589862695379543, 0.029265186798925764, 0.0779753803700578]"
control_1,pc1,0.2552280590956514,0.3012383621945702,0.044993913058979776,-62.98865115091508,50,91.71409086059475,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[0.0019019401399918735, -0.02830514955092675, -0.03301077218448119, -0.1371014623990451, -0.08888482172740711, 0.027471634000420214, -0.061312987179154455, 0.052160367733261354, 0.1709201280726881, 0.11446332613664024, 0.05504249805454692, -0.08330190739018084, -0.05362963484539743, -0.12529794451127052, -0.07701876856305127, 0.019466484824157804, 0.11658923975272402, 0.09696368153658774, 0.1523440933139409, 0.1348457568421575, -0.032229262705807116, 0.04976912239535698, 0.11374458524088012, 0.12816043580974332, 0.05957688787830134, 0.0517937363459552, 0.15043711415883038, 0.11751896142418966, 0.14785966759357994, 0.1062399538037156, 0.17380402264614386, 0.07775803820666141, 0.06621049342074045, -0.046209753793340066, -0.04967080814841333, -0.07118596936751467, -0.12582137030143473, -0.05949049117945829, -0.03304897198082969, -0.0205438051639433, -0.003673537453797577, -0.016038004907613267, -0.029727917181971347, 0.07385157450190293, 0.08860390811550102, 0.09373083042542665, 0.03458532805144883, 0.11062957327545668, 0.18107657171201008, 0.15969358663092506]"
control_1,pc2,0.24562500719191077,0.26386511112548416,-0.01655095760336356,-66.67012463086748,50,91.60048610800447,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[-0.006501598744003705, -0.08307168887024595, -0.11696964773533883, -0.05782637010645965, -0.11325955324624229, -0.09029585372205344, -0.13557502581152275, -0.12459980283735585, -0.11934039893362064, -0.09356372373582247, -0.05975244040664775, -0.07115362357096046, -0.03490111203263534, -0.11398022096020041, -0.04228922473597432, 0.023222290245068458, 0.031962709607348525, -0.023890380037463792, 0.05105736629713673, 0.012678818182928604, 0.00587474608931816, 0.03407581858493922, 0.08294324060072181, 0.07647317727611064, 0.00010000373532852158, -0.09167555575461776, -0.0778145288890925, -0.07194042375177451, -0.008775756648717437, -0.004199191738613367, -0.026820433463954324, 0.03712313405441389, -0.010051573309691163, -0.12423016642379375, -0.07414618855994101, 0.00816232357091283, 0.22449002839616766, 0.12836519613773076, 0.1550924166991705, 0.16768239083574696, 0.162958879236177, 0.06283869138656203, 0.07416051923180772, 0.03705534701881227, 0.06199731064996297, 0.003721882977904635, -0.12526219138307973, -0.16673134579221624, -0.051148584105740205, -0.09313328893165204]"
control_1,pc3,0.2622362254509992,0.268651014051046,-0.015162454377986502,-60.38833702729957,50,91.79840801855818,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[-0.005003565839705098, 0.029856422460567134, 0.0648816168851486, 0.08190869096270909, 0.22653172221511522, 0.21565552737459862, 0.13824942651476466, 0.1930290941671048, 0.1541265719313221, -0.02266469195295262, -0.010280244523643423, 0.10298834276342521, 0.07992189422056234, 0.027864382164524637, 0.1075771831534183, 0.07322320651114389, -0.05561426593211974, -0.1050341738369064, -0.15547591903062152, -0.18421181138816273, -0.18007752563434787, -0.0687454861630655, -0.08901333882144313, 0.04499417700124367, 0.09009024056866438, -0.012376226321956452, 0.04324603954223527, -0.02067154451694528, -0.02439373530391298, -0.1465729891343771, -0.04188097370737619, -0.14175179253614614, -0.038870011764764706, 0.030597706603037303, -0.10600379566774461, -0.11496155584547825, -0.04250571858615361, 0.0044127503943517665, -0.03690653983293574, -0.008661500359241348, 0.02331039715100669, -0.004624207091602162, -0.05022918648933856, -0.12018719501914404, -0.07742715965501039, -0.1119335064054762, -0.12465023858560625, -0.14084226599351166, -0.07148758212490333, -0.0015089738966096028]"
control_2,pc1,0.25960196434487826,0.3540973223726893,-0.03939671588141542,-61.357405162409734,50,91.76656826516681,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[0.00216493582682415, -0.15909249224065042, -0.20068712331368976, -0.20175198172459158, -0.1568089038813677, -0.1746864447228197, -0.2050232831635015, -0.1351240341339945, -0.11791634057419824, -0.15341916071272096, -0.08450336012815768, 0.012092628198693833, -0.04169493070779786, -0.08869102635267312, -0.06917227698873843, 0.036304265819495224, 0.17509087152318212, 0.042536940736189494, 0.03606878237536016, -0.06498413496727024, -0.06286630071973216, -0.04818268816618652, -0.010041402142921346, 0.0034938549037559635, 0.001375800484855453, 0.08063112834268077, 0.024739374973658537, 0.01141776904799242, -0.055328038189725176, -0.08106741810329607, -0.029711298983426185, 0.15869555878186542, 0.10061560172840606, 0.01521747168503336, 0.04513007631350324, -0.09201413083321094, -0.2249695485639551, -0.08113463092979065, 0.028004113804520975, 0.07074752695900499, 0.07827060494225835, 0.01042301033973704, -0.0043777177016024425, -0.0020081345711639607, -0.05776484049502798, -0.04884030614157985, -0.06220603260511751, -0.02587165734349091, -0.03396376555426335, -0.11349531824779693]"
control_2,pc2,0.23643009799094827,0.24068288229853546,0.0576969953928876,-70.33190440057835,50,91.49354894395577,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[0.007389725632032558, -0.007516271791296977, -0.07440104952085987, 0.019038457391091765, -0.014962285000309217, 0.0026119220753960115, -0.027869338793749705, -0.09731512386106439, -0.06452920333122752, -0.10606447349059958, -0.08031523764598159, -0.0570594577979005, -0.11535600459368711, 0.010028857923887385, 0.013624236929682332, -0.03162559284665671, -0.01135668996091108, 0.07522073462190158, 0.02155101477363757, 0.023073866649949672, -0.012516343355425067, -0.005213304335367775, -0.03237920378470767, 0.03692812413388932, 0.006070843074872767, 0.027899600155443616, 0.005096680742219278, 0.06247252784298956, 0.04545075377943573, 0.17304860732640004, 0.14447331690267112, 0.1708040644244103, 0.08648286163998628, 0.02799503994119147, 0.0056961398273140396, -0.0017395479816537376, 0.05767037616663197, 0.034138216370042655, 0.021736099527957232, 0.10780596559154398, 0.14351136933705855, 0.2224612296168534, 0.08233226869872073, 0.20175907719421282, 0.17837837062369596, 0.20691091233879944, 0.14578631870716433, 0.04360626584111006, 0.11388372677771597, 0.17568369450646792]"
control_2,pc3,0.2553086748545848,0.3463046549090617,0.06232323295625745,-62.957623384884485,50,91.71507628923955,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control', 'control']","[0.009280421705913493, -0.10202771723272262, -0.07877454670446332, -0.04422244025190923, 0.01977353050089503, 0.15789325903424592, 0.08261955974666785, 0.09090284841541278, 0.05256258127633799, 0.04140089009639366, 0.01746156786830642, 0.09999686242853556, 0.1112971327825054, 0.06839807842391746, 0.10386898137820955, -0.018742110311245036, 0.043895978739367986, 0.13229984085038332, 0.1785798327417274, 0.041184707664057074, -0.06826468876461106, -0.00790140720871347, -0.02683364295015783, 0.10658018611228076, 0.15607887397635878, 0.05857479262202099, 0.04870198126118629, 0.07706093272030012, 0.009000407804040794, 0.14475138326200102, 0.08702786400663202, 0.1365773787528531, 0.13809927115174547, 0.1308106658165427, 0.11211377016697488, 0.1095063592499779, 0.1508687820739636, 0.1300055722600419, 0.09906609463641321, 0.1663799788421729, 0.14984299002925788, 0.12064585835619926, 0.18113534995645325, 0.12436531187520149, 0.19009707180692587, 0.05312882131903929, -0.09178681908400221, -0.1100864014400034, -0.08529089941190074, -0.10888090379037851]"
destabilizing_treatment_0,pc1,0.2547721480910684,0.2543420678308024,0.03486930912437092,-63.15936167230232,50,91.70867783436393,basinhopping,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0]","['destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment', 'destabilizing_treatment']","[-0.001997492954703215, -0.07640326604032562, -0.050640640052875024, 0.024266658591496224, 0.018927896694441674, 0.03400638716880987, 0.06536027703862375, -0.061425621728863775, 0.030544081456663347, 0.01557774746574161, 0.089673453923626, 0.21231150770712964, 0.2025867959152428, 0.10845278309251097, -0.02121816516578559, 0.023204080594387375, -0.05191899143364902, -0.0341373056673561, 0.054820981896195296, 0.09363119492279914, 0.09811501787606244, 0.12108346751146483, 0.19354749305684454, 0.17557999530634358, 0.16369181134006497, 0.0994400430332178, 0.13835310303950646, 0.0777261210904163, 0.04960939339797128, 0.127790192047642, 0.07607357522171544, 0.05520210627975902, 0.06818610790126291, 0.024039217337208457, 0.07735958905151434, 0.1927525144595797, 0.17843590543612634, 0.013792725863444238, 0.027856084501210625, -0.04283551029043849, -0.08507531674646468, -0.008782963173531846, -0.020684175032676243, 0.003451653538556858, 0.030895824677336262, 0.05691763508182487, 0.08070673146791336, -0.08782048660730092, -0.18159023620612402, -0.17517864535782748]"
